cod_pobla,iso3_pobla,año_pobla,poblacion
28,ATG,2010.0,85000.0
28,ATG,2015.0,89000.0
28,ATG,2020.0,91000.0
28,ATG,2024.0,93000.0
36,AUS,1990.0,17126000.0
36,AUS,1995.0,18095000.0
36,AUS,2000.0,19132000.0
36,AUS,2005.0,20294000.0
36,AUS,2010.0,22141000.0
36,AUS,2015.0,23948000.0
36,AUS,2020.0,25743000.0
36,AUS,2024.0,26713000.0
40,AUT,1990.0,7679000.0
40,AUT,1995.0,7950000.0
40,AUT,2000.0,8012000.0
40,AUT,2005.0,8229000.0
40,AUT,2010.0,8365000.0
40,AUT,2015.0,8644000.0
40,AUT,2020.0,8921000.0
40,AUT,2024.0,9120000.0
31,AZE,1990.0,7231000.0
31,AZE,1995.0,7719000.0
31,AZE,2000.0,8174000.0
31,AZE,2005.0,8597000.0
31,AZE,2010.0,9146000.0
31,AZE,2015.0,9752000.0
31,AZE,2020.0,10181000.0
31,AZE,2024.0,10336000.0
108,BDI,1990.0,5587000.0
108,BDI,1995.0,6066000.0
108,BDI,2000.0,6470000.0
108,BDI,2005.0,7587000.0
108,BDI,2010.0,9376000.0
108,BDI,2015.0,11047000.0
108,BDI,2020.0,12617000.0
108,BDI,2024.0,14047000.0
56,BEL,1990.0,9960000.0
56,BEL,1995.0,10137000.0
56,BEL,2000.0,10251000.0
56,BEL,2005.0,10478000.0
56,BEL,2010.0,10936000.0
56,BEL,2015.0,11275000.0
56,BEL,2020.0,11540000.0
56,BEL,2024.0,11738000.0
204,BEN,1990.0,5281000.0
204,BEN,1995.0,6226000.0
204,BEN,2000.0,7221000.0
204,BEN,2005.0,8426000.0
204,BEN,2010.0,9797000.0
204,BEN,2015.0,11360000.0
204,BEN,2020.0,13070000.0
204,BEN,2024.0,14462000.0
854,BFA,1990.0,9159000.0
854,BFA,1995.0,10386000.0
854,BFA,2000.0,11925000.0
854,BFA,2005.0,13932000.0
854,BFA,2010.0,16176000.0
854,BFA,2015.0,18777000.0
854,BFA,2020.0,21478000.0
854,BFA,2024.0,23548000.0
50,BGD,1990.0,111633000.0
50,BGD,1995.0,122600000.0
50,BGD,2000.0,134544000.0
50,BGD,2005.0,144715000.0
50,BGD,2010.0,152201000.0
50,BGD,2015.0,159383000.0
50,BGD,2020.0,166298000.0
50,BGD,2024.0,173562000.0
100,BGR,1990.0,8822000.0
100,BGR,1995.0,8357000.0
100,BGR,2000.0,8000000.0
100,BGR,2005.0,7695000.0
100,BGR,2010.0,7437000.0
100,BGR,2015.0,7177000.0
100,BGR,2020.0,6933000.0
100,BGR,2024.0,6757000.0
48,BHR,1990.0,514000.0
48,BHR,1995.0,593000.0
48,BHR,2000.0,669000.0
48,BHR,2005.0,932000.0
48,BHR,2010.0,1213000.0
48,BHR,2015.0,1369000.0
48,BHR,2020.0,1483000.0
48,BHR,2024.0,1607000.0
44,BHS,1990.0,275000.0
44,BHS,1995.0,301000.0
44,BHS,2000.0,323000.0
44,BHS,2005.0,343000.0
44,BHS,2010.0,367000.0
44,BHS,2015.0,385000.0
44,BHS,2020.0,395000.0
44,BHS,2024.0,401000.0
70,BIH,1990.0,4448000.0
70,BIH,1995.0,3715000.0
70,BIH,2000.0,4159000.0
70,BIH,2005.0,4096000.0
70,BIH,2010.0,3811000.0
70,BIH,2015.0,3518000.0
70,BIH,2020.0,3299000.0
70,BIH,2024.0,3164000.0
112,BLR,1990.0,10186000.0
112,BLR,1995.0,10197000.0
112,BLR,2000.0,9991000.0
112,BLR,2005.0,9667000.0
112,BLR,2010.0,9490000.0
112,BLR,2015.0,9487000.0
112,BLR,2020.0,9350000.0
112,BLR,2024.0,9056000.0
84,BLZ,1990.0,183000.0
84,BLZ,1995.0,204000.0
84,BLZ,2000.0,240000.0
84,BLZ,2005.0,279000.0
84,BLZ,2010.0,320000.0
84,BLZ,2015.0,356000.0
84,BLZ,2020.0,390000.0
84,BLZ,2024.0,417000.0
68,BOL,1990.0,7130000.0
68,BOL,1995.0,7874000.0
68,BOL,2000.0,8606000.0
68,BOL,2005.0,9360000.0
68,BOL,2010.0,10182000.0
68,BOL,2015.0,11014000.0
68,BOL,2020.0,11816000.0
68,BOL,2024.0,12413000.0
76,BRA,1990.0,149143000.0
76,BRA,1995.0,161735000.0
76,BRA,2000.0,174018000.0
76,BRA,2005.0,184688000.0
76,BRA,2010.0,193701000.0
76,BRA,2015.0,201675000.0
76,BRA,2020.0,208660000.0
76,BRA,2024.0,211998000.0
52,BRB,1990.0,258000.0
52,BRB,1995.0,262000.0
52,BRB,2000.0,262000.0
52,BRB,2005.0,268000.0
52,BRB,2010.0,275000.0
52,BRB,2015.0,278000.0
52,BRB,2020.0,281000.0
52,BRB,2024.0,282000.0
96,BRN,1990.0,255000.0
96,BRN,1995.0,291000.0
96,BRN,2000.0,326000.0
96,BRN,2005.0,358000.0
96,BRN,2010.0,392000.0
96,BRN,2015.0,422000.0
96,BRN,2020.0,447000.0
96,BRN,2024.0,462000.0
64,BTN,1990.0,589000.0
64,BTN,1995.0,547000.0
64,BTN,2000.0,596000.0
64,BTN,2005.0,661000.0
64,BTN,2010.0,701000.0
64,BTN,2015.0,740000.0
64,BTN,2020.0,770000.0
64,BTN,2024.0,791000.0
72,BWA,1990.0,1305000.0
72,BWA,1995.0,1498000.0
72,BWA,2000.0,1677000.0
72,BWA,2005.0,1839000.0
72,BWA,2010.0,2033000.0
72,BWA,2015.0,2203000.0
72,BWA,2020.0,2365000.0
72,BWA,2024.0,2521000.0
140,CAF,1990.0,2871000.0
140,CAF,1995.0,3348000.0
140,CAF,2000.0,3833000.0
140,CAF,2005.0,4288000.0
140,CAF,2010.0,4492000.0
140,CAF,2015.0,4629000.0
140,CAF,2020.0,5026000.0
140,CAF,2024.0,5330000.0
124,CAN,1990.0,27789000.0
124,CAN,1995.0,29459000.0
124,CAN,2000.0,30891000.0
124,CAN,2005.0,32440000.0
124,CAN,2010.0,34196000.0
124,CAN,2015.0,35962000.0
124,CAN,2020.0,38171000.0
124,CAN,2024.0,39742000.0
756,CHE,1990.0,6713000.0
756,CHE,1995.0,7040000.0
756,CHE,2000.0,7184000.0
756,CHE,2005.0,7431000.0
756,CHE,2010.0,7825000.0
756,CHE,2015.0,8283000.0
756,CHE,2020.0,8640000.0
756,CHE,2024.0,8921000.0
152,CHL,1990.0,13437000.0
152,CHL,1995.0,14527000.0
152,CHL,2000.0,15503000.0
152,CHL,2005.0,16348000.0
152,CHL,2010.0,17181000.0
152,CHL,2015.0,18047000.0
152,CHL,2020.0,19370000.0
152,CHL,2024.0,19764000.0
156,CHN,1990.0,1153582000.0
156,CHN,1995.0,1220133000.0
156,CHN,2000.0,1269581000.0
156,CHN,2005.0,1310027000.0
156,CHN,2010.0,1351561000.0
156,CHN,2015.0,1396134000.0
156,CHN,2020.0,1426106000.0
156,CHN,2024.0,1419321000.0
384,CIV,1990.0,12189000.0
384,CIV,1995.0,14855000.0
384,CIV,2000.0,17699000.0
384,CIV,2005.0,20068000.0
384,CIV,2010.0,22488000.0
384,CIV,2015.0,25246000.0
384,CIV,2020.0,28915000.0
384,CIV,2024.0,31934000.0
120,CMR,1990.0,11331000.0
120,CMR,1995.0,13058000.0
120,CMR,2000.0,14912000.0
120,CMR,2005.0,17074000.0
120,CMR,2010.0,19668000.0
120,CMR,2015.0,22763000.0
120,CMR,2020.0,26210000.0
120,CMR,2024.0,29123000.0
180,COD,1990.0,36684000.0
180,COD,1995.0,44433000.0
180,COD,2000.0,50507000.0
180,COD,2005.0,58775000.0
180,COD,2010.0,68563000.0
180,COD,2015.0,81035000.0
180,COD,2020.0,95989000.0
180,COD,2024.0,109276000.0
178,COG,1990.0,2380000.0
178,COG,1995.0,2749000.0
178,COG,2000.0,3151000.0
178,COG,2005.0,3696000.0
178,COG,2010.0,4462000.0
178,COG,2015.0,5097000.0
178,COG,2020.0,5752000.0
178,COG,2024.0,6332000.0
170,COL,1990.0,32440000.0
170,COL,1995.0,35804000.0
170,COL,2000.0,39089000.0
170,COL,2005.0,42128000.0
170,COL,2010.0,44777000.0
170,COL,2015.0,46969000.0
170,COL,2020.0,50629000.0
170,COL,2024.0,52886000.0
174,COM,1990.0,444000.0
174,COM,1995.0,490000.0
174,COM,2000.0,536000.0
174,COM,2005.0,592000.0
174,COM,2010.0,654000.0
174,COM,2015.0,726000.0
174,COM,2020.0,802000.0
174,COM,2024.0,866000.0
132,CPV,1990.0,375000.0
132,CPV,1995.0,418000.0
132,CPV,2000.0,453000.0
132,CPV,2005.0,485000.0
132,CPV,2010.0,509000.0
132,CPV,2015.0,512000.0
132,CPV,2020.0,514000.0
132,CPV,2024.0,524000.0
188,CRI,1990.0,3121000.0
188,CRI,1995.0,3535000.0
188,CRI,2000.0,3937000.0
188,CRI,2005.0,4261000.0
188,CRI,2010.0,4555000.0
188,CRI,2015.0,4818000.0
188,CRI,2020.0,5034000.0
188,CRI,2024.0,5129000.0
192,CUB,1990.0,10631000.0
192,CUB,1995.0,10925000.0
192,CUB,2000.0,11109000.0
192,CUB,2005.0,11262000.0
192,CUB,2010.0,11297000.0
192,CUB,2015.0,11275000.0
192,CUB,2020.0,11176000.0
192,CUB,2024.0,10979000.0
196,CYP,1990.0,788000.0
196,CYP,1995.0,862000.0
196,CYP,2000.0,947000.0
196,CYP,2005.0,1036000.0
196,CYP,2010.0,1127000.0
196,CYP,2015.0,1219000.0
196,CYP,2020.0,1302000.0
196,CYP,2024.0,1358000.0
203,CZE,1990.0,10301000.0
203,CZE,1995.0,10312000.0
203,CZE,2000.0,10236000.0
203,CZE,2005.0,10280000.0
203,CZE,2010.0,10464000.0
203,CZE,2015.0,10524000.0
203,CZE,2020.0,10550000.0
203,CZE,2024.0,10735000.0
276,DEU,1990.0,79707000.0
276,DEU,1995.0,82019000.0
276,DEU,2000.0,81797000.0
276,DEU,2005.0,82046000.0
276,DEU,2010.0,80830000.0
276,DEU,2015.0,82077000.0
276,DEU,2020.0,83628000.0
276,DEU,2024.0,84552000.0
262,DJI,1990.0,579000.0
262,DJI,1995.0,633000.0
262,DJI,2000.0,747000.0
262,DJI,2005.0,839000.0
262,DJI,2010.0,930000.0
262,DJI,2015.0,1020000.0
262,DJI,2020.0,1105000.0
262,DJI,2024.0,1168000.0
212,DMA,1990.0,69000.0
212,DMA,1995.0,69000.0
212,DMA,2000.0,68000.0
212,DMA,2005.0,68000.0
212,DMA,2010.0,68000.0
212,DMA,2015.0,70000.0
212,DMA,2020.0,67000.0
212,DMA,2024.0,66000.0
208,DNK,1990.0,5141000.0
208,DNK,1995.0,5233000.0
208,DNK,2000.0,5339000.0
208,DNK,2005.0,5419000.0
208,DNK,2010.0,5547000.0
208,DNK,2015.0,5683000.0
208,DNK,2020.0,5831000.0
208,DNK,2024.0,5977000.0
214,DOM,1990.0,7151000.0
214,DOM,1995.0,7888000.0
214,DOM,2000.0,8584000.0
214,DOM,2005.0,9225000.0
214,DOM,2010.0,9820000.0
214,DOM,2015.0,10434000.0
214,DOM,2020.0,11008000.0
214,DOM,2024.0,11427000.0
12,DZA,1990.0,25375000.0
12,DZA,1995.0,28470000.0
12,DZA,2000.0,30903000.0
12,DZA,2005.0,33109000.0
12,DZA,2010.0,36188000.0
12,DZA,2015.0,40019000.0
12,DZA,2020.0,44042000.0
12,DZA,2024.0,46814000.0
218,ECU,1990.0,10473000.0
218,ECU,1995.0,11590000.0
218,ECU,2000.0,12689000.0
218,ECU,2005.0,13846000.0
218,ECU,2010.0,15076000.0
218,ECU,2015.0,16266000.0
218,ECU,2020.0,17546000.0
218,ECU,2024.0,18135000.0
818,EGY,1990.0,58396000.0
818,EGY,1995.0,65652000.0
818,EGY,2000.0,73083000.0
818,EGY,2005.0,81101000.0
818,EGY,2010.0,89196000.0
818,EGY,2015.0,99597000.0
818,EGY,2020.0,109315000.0
818,EGY,2024.0,116538000.0
232,ERI,1990.0,2032000.0
232,ERI,1995.0,2025000.0
232,ERI,2000.0,2247000.0
232,ERI,2005.0,2661000.0
232,ERI,2010.0,2945000.0
232,ERI,2015.0,3105000.0
232,ERI,2020.0,3291000.0
232,ERI,2024.0,3535000.0
732,ESH,1990.0,179000.0
732,ESH,1995.0,209000.0
732,ESH,2000.0,271000.0
732,ESH,2005.0,338000.0
732,ESH,2010.0,409000.0
732,ESH,2015.0,486000.0
732,ESH,2020.0,549000.0
732,ESH,2024.0,590000.0
724,ESP,1990.0,39084000.0
724,ESP,1995.0,40052000.0
724,ESP,2000.0,41019000.0
724,ESP,2005.0,43958000.0
724,ESP,2010.0,46840000.0
724,ESP,2015.0,46683000.0
724,ESP,2020.0,47679000.0
724,ESP,2024.0,47910000.0
233,EST,1990.0,1570000.0
233,EST,1995.0,1452000.0
233,EST,2000.0,1396000.0
233,EST,2005.0,1354000.0
233,EST,2010.0,1331000.0
233,EST,2015.0,1314000.0
233,EST,2020.0,1329000.0
233,EST,2024.0,1360000.0
231,ETH,1990.0,47609000.0
231,ETH,1995.0,57537000.0
231,ETH,2000.0,67411000.0
231,ETH,2005.0,78367000.0
231,ETH,2010.0,90538000.0
231,ETH,2015.0,103867000.0
231,ETH,2020.0,118917000.0
231,ETH,2024.0,132059000.0
246,FIN,1990.0,4986000.0
246,FIN,1995.0,5107000.0
246,FIN,2000.0,5176000.0
246,FIN,2005.0,5246000.0
246,FIN,2010.0,5363000.0
246,FIN,2015.0,5479000.0
246,FIN,2020.0,5529000.0
246,FIN,2024.0,5617000.0
242,FJI,1990.0,773000.0
242,FJI,1995.0,798000.0
242,FJI,2000.0,840000.0
242,FJI,2005.0,882000.0
242,FJI,2010.0,910000.0
242,FJI,2015.0,918000.0
242,FJI,2020.0,914000.0
242,FJI,2024.0,928000.0
238,FLK,1990.0,2000.0
238,FLK,1995.0,2000.0
238,FLK,2000.0,3000.0
238,FLK,2005.0,3000.0
238,FLK,2010.0,3000.0
238,FLK,2015.0,3000.0
238,FLK,2020.0,3000.0
238,FLK,2024.0,3000.0
250,FRA,1990.0,56990000.0
250,FRA,1995.0,58192000.0
250,FRA,2000.0,59483000.0
250,FRA,2005.0,61625000.0
250,FRA,2010.0,63417000.0
250,FRA,2015.0,64916000.0
250,FRA,2020.0,65905000.0
250,FRA,2024.0,66548000.0
583,FSM,1990.0,100000.0
583,FSM,1995.0,110000.0
583,FSM,2000.0,112000.0
583,FSM,2005.0,111000.0
583,FSM,2010.0,107000.0
583,FSM,2015.0,108000.0
583,FSM,2020.0,110000.0
583,FSM,2024.0,113000.0
266,GAB,1990.0,983000.0
266,GAB,1995.0,1123000.0
266,GAB,2000.0,1275000.0
266,GAB,2005.0,1463000.0
266,GAB,2010.0,1719000.0
266,GAB,2015.0,2040000.0
266,GAB,2020.0,2322000.0
266,GAB,2024.0,2538000.0
826,GBR,1990.0,57367000.0
826,GBR,1995.0,58154000.0
826,GBR,2000.0,59057000.0
826,GBR,2005.0,60596000.0
826,GBR,2010.0,63006000.0
826,GBR,2015.0,65382000.0
826,GBR,2020.0,67351000.0
826,GBR,2024.0,69138000.0
268,GEO,1990.0,5448000.0
268,GEO,1995.0,4925000.0
268,GEO,2000.0,4328000.0
268,GEO,2005.0,4026000.0
268,GEO,2010.0,3895000.0
268,GEO,2015.0,3791000.0
268,GEO,2020.0,3795000.0
268,GEO,2024.0,3807000.0
288,GHA,1990.0,15394000.0
288,GHA,1995.0,17399000.0
288,GHA,2000.0,19637000.0
288,GHA,2005.0,22449000.0
288,GHA,2010.0,25474000.0
288,GHA,2015.0,28696000.0
288,GHA,2020.0,31887000.0
288,GHA,2024.0,34427000.0
324,GIN,1990.0,6434000.0
324,GIN,1995.0,7553000.0
324,GIN,2000.0,8428000.0
324,GIN,2005.0,9245000.0
324,GIN,2010.0,10396000.0
324,GIN,2015.0,11767000.0
324,GIN,2020.0,13371000.0
324,GIN,2024.0,14754000.0
270,GMB,1990.0,1054000.0
270,GMB,1995.0,1264000.0
270,GMB,2000.0,1455000.0
270,GMB,2005.0,1667000.0
270,GMB,2010.0,1926000.0
270,GMB,2015.0,2224000.0
270,GMB,2020.0,2515000.0
270,GMB,2024.0,2759000.0
624,GNB,1990.0,973000.0
624,GNB,1995.0,1119000.0
624,GNB,2000.0,1234000.0
624,GNB,2005.0,1381000.0
624,GNB,2010.0,1566000.0
624,GNB,2015.0,1786000.0
624,GNB,2020.0,2013000.0
624,GNB,2024.0,2201000.0
226,GNQ,1990.0,474000.0
226,GNQ,1995.0,571000.0
226,GNQ,2000.0,703000.0
226,GNQ,2005.0,947000.0
226,GNQ,2010.0,1189000.0
226,GNQ,2015.0,1453000.0
226,GNQ,2020.0,1716000.0
226,GNQ,2024.0,1892000.0
300,GRC,1990.0,10258000.0
300,GRC,1995.0,10519000.0
300,GRC,2000.0,10782000.0
300,GRC,2005.0,10981000.0
300,GRC,2010.0,11124000.0
300,GRC,2015.0,10820000.0
300,GRC,2020.0,10699000.0
300,GRC,2024.0,10047000.0
308,GRD,1990.0,99000.0
308,GRD,1995.0,103000.0
308,GRD,2000.0,107000.0
308,GRD,2005.0,109000.0
308,GRD,2010.0,111000.0
308,GRD,2015.0,114000.0
308,GRD,2020.0,116000.0
308,GRD,2024.0,117000.0
320,GTM,1990.0,9024000.0
320,GTM,1995.0,10312000.0
320,GTM,2000.0,11697000.0
320,GTM,2005.0,13087000.0
320,GTM,2010.0,14500000.0
320,GTM,2015.0,15971000.0
320,GTM,2020.0,17357000.0
320,GTM,2024.0,18406000.0
254,GUF,1990.0,112000.0
254,GUF,1995.0,134000.0
254,GUF,2000.0,160000.0
254,GUF,2005.0,202000.0
254,GUF,2010.0,234000.0
254,GUF,2015.0,266000.0
254,GUF,2020.0,289000.0
254,GUF,2024.0,308000.0
328,GUY,1990.0,749000.0
328,GUY,1995.0,758000.0
328,GUY,2000.0,764000.0
328,GUY,2005.0,760000.0
328,GUY,2010.0,749000.0
328,GUY,2015.0,758000.0
328,GUY,2020.0,807000.0
328,GUY,2024.0,831000.0
344,HKG,1990.0,5560000.0
344,HKG,1995.0,6177000.0
344,HKG,2000.0,6704000.0
344,HKG,2005.0,6908000.0
344,HKG,2010.0,7101000.0
344,HKG,2015.0,7366000.0
344,HKG,2020.0,7490000.0
344,HKG,2024.0,7414000.0
340,HND,1990.0,4980000.0
340,HND,1995.0,5739000.0
340,HND,2000.0,6577000.0
340,HND,2005.0,7478000.0
340,HND,2010.0,8365000.0
340,HND,2015.0,9237000.0
340,HND,2020.0,10119000.0
340,HND,2024.0,10825000.0
191,HRV,1990.0,4835000.0
191,HRV,1995.0,4619000.0
191,HRV,2000.0,4326000.0
191,HRV,2005.0,4313000.0
191,HRV,2010.0,4301000.0
191,HRV,2015.0,4183000.0
191,HRV,2020.0,3953000.0
191,HRV,2024.0,3875000.0
332,HTI,1990.0,6854000.0
332,HTI,1995.0,7562000.0
332,HTI,2000.0,8303000.0
332,HTI,2005.0,9061000.0
332,HTI,2010.0,9803000.0
332,HTI,2015.0,10523000.0
332,HTI,2020.0,11243000.0
332,HTI,2024.0,11772000.0
348,HUN,1990.0,10381000.0
348,HUN,1995.0,10322000.0
348,HUN,2000.0,10190000.0
348,HUN,2005.0,10065000.0
348,HUN,2010.0,9979000.0
348,HUN,2015.0,9839000.0
348,HUN,2020.0,9749000.0
348,HUN,2024.0,9676000.0
360,IDN,1990.0,183501000.0
360,IDN,1995.0,199888000.0
360,IDN,2000.0,216077000.0
360,IDN,2005.0,230871000.0
360,IDN,2010.0,246305000.0
360,IDN,2015.0,261799000.0
360,IDN,2020.0,274814000.0
360,IDN,2024.0,283487000.0
356,IND,1990.0,864972000.0
356,IND,1995.0,960301000.0
356,IND,2000.0,1057922000.0
356,IND,2005.0,1154676000.0
356,IND,2010.0,1243481000.0
356,IND,2015.0,1328024000.0
356,IND,2020.0,1402617000.0
356,IND,2024.0,1450935000.0
372,IRL,1990.0,3514000.0
372,IRL,1995.0,3610000.0
372,IRL,2000.0,3802000.0
372,IRL,2005.0,4155000.0
372,IRL,2010.0,4559000.0
372,IRL,2015.0,4702000.0
372,IRL,2020.0,4982000.0
372,IRL,2024.0,5255000.0
364,IRN,1990.0,58380000.0
364,IRN,1995.0,62205000.0
364,IRN,2000.0,66418000.0
364,IRN,2005.0,71828000.0
364,IRN,2010.0,77420000.0
364,IRN,2015.0,82619000.0
364,IRN,2020.0,87723000.0
364,IRN,2024.0,91567000.0
368,IRQ,1990.0,17581000.0
368,IRQ,1995.0,20825000.0
368,IRQ,2000.0,24424000.0
368,IRQ,2005.0,28407000.0
368,IRQ,2010.0,31045000.0
368,IRQ,2015.0,37560000.0
368,IRQ,2020.0,42116000.0
368,IRQ,2024.0,46042000.0
352,ISL,1990.0,254000.0
352,ISL,1995.0,267000.0
352,ISL,2000.0,281000.0
352,ISL,2005.0,296000.0
352,ISL,2010.0,318000.0
352,ISL,2015.0,330000.0
352,ISL,2020.0,366000.0
352,ISL,2024.0,393000.0
376,ISR,1990.0,4544000.0
376,ISR,1995.0,5354000.0
376,ISR,2000.0,6111000.0
376,ISR,2005.0,6728000.0
376,ISR,2010.0,7336000.0
376,ISR,2015.0,8052000.0
376,ISR,2020.0,8800000.0
376,ISR,2024.0,9387000.0
380,ITA,1990.0,57031000.0
380,ITA,1995.0,57403000.0
380,ITA,2000.0,57272000.0
380,ITA,2005.0,58519000.0
380,ITA,2010.0,60164000.0
380,ITA,2015.0,60575000.0
380,ITA,2020.0,59912000.0
380,ITA,2024.0,59342000.0
388,JAM,1990.0,2379000.0
388,JAM,1995.0,2500000.0
388,JAM,2000.0,2607000.0
388,JAM,2005.0,2687000.0
388,JAM,2010.0,2748000.0
388,JAM,2015.0,2802000.0
388,JAM,2020.0,2830000.0
388,JAM,2024.0,2839000.0
400,JOR,1990.0,3621000.0
400,JOR,1995.0,4752000.0
400,JOR,2000.0,5386000.0
400,JOR,2005.0,6029000.0
400,JOR,2010.0,7297000.0
400,JOR,2015.0,9544000.0
400,JOR,2020.0,10865000.0
400,JOR,2024.0,11552000.0
392,JPN,1990.0,123399000.0
392,JPN,1995.0,125672000.0
392,JPN,2000.0,127027000.0
392,JPN,2005.0,127913000.0
392,JPN,2010.0,128185000.0
392,JPN,2015.0,127275000.0
392,JPN,2020.0,126304000.0
392,JPN,2024.0,123753000.0
398,KAZ,1990.0,17154000.0
398,KAZ,1995.0,16730000.0
398,KAZ,2000.0,15501000.0
398,KAZ,2005.0,15968000.0
398,KAZ,2010.0,16836000.0
398,KAZ,2015.0,18084000.0
398,KAZ,2020.0,19482000.0
398,KAZ,2024.0,20592000.0
404,KEN,1990.0,22892000.0
404,KEN,1995.0,26601000.0
404,KEN,2000.0,30642000.0
404,KEN,2005.0,35796000.0
404,KEN,2010.0,41598000.0
404,KEN,2015.0,47088000.0
404,KEN,2020.0,52217000.0
404,KEN,2024.0,56432000.0
417,KGZ,1990.0,4459000.0
417,KGZ,1995.0,4713000.0
417,KGZ,2000.0,5025000.0
417,KGZ,2005.0,5246000.0
417,KGZ,2010.0,5491000.0
417,KGZ,2015.0,6001000.0
417,KGZ,2020.0,6664000.0
417,KGZ,2024.0,7186000.0
116,KHM,1990.0,7374000.0
116,KHM,1995.0,10018000.0
116,KHM,2000.0,12462000.0
116,KHM,2005.0,13439000.0
116,KHM,2010.0,14500000.0
116,KHM,2015.0,15623000.0
116,KHM,2020.0,16725000.0
116,KHM,2024.0,17638000.0
296,KIR,1990.0,74000.0
296,KIR,1995.0,81000.0
296,KIR,2000.0,88000.0
296,KIR,2005.0,98000.0
296,KIR,2010.0,108000.0
296,KIR,2015.0,116000.0
296,KIR,2020.0,126000.0
296,KIR,2024.0,134000.0
659,KNA,1990.0,40000.0
659,KNA,1995.0,42000.0
659,KNA,2000.0,45000.0
659,KNA,2005.0,46000.0
659,KNA,2010.0,46000.0
659,KNA,2015.0,47000.0
659,KNA,2020.0,46000.0
659,KNA,2024.0,46000.0
410,KOR,1990.0,44081000.0
410,KOR,1995.0,45368000.0
410,KOR,2000.0,46766000.0
410,KOR,2005.0,47851000.0
410,KOR,2010.0,48769000.0
410,KOR,2015.0,50983000.0
410,KOR,2020.0,51858000.0
410,KOR,2024.0,51717000.0
414,KWT,1990.0,1684000.0
414,KWT,1995.0,1681000.0
414,KWT,2000.0,1954000.0
414,KWT,2005.0,2236000.0
414,KWT,2010.0,2943000.0
414,KWT,2015.0,3834000.0
414,KWT,2020.0,4400000.0
414,KWT,2024.0,4934000.0
418,LAO,1990.0,4311000.0
418,LAO,1995.0,4929000.0
418,LAO,2000.0,5431000.0
418,LAO,2005.0,5869000.0
418,LAO,2010.0,6334000.0
418,LAO,2015.0,6801000.0
418,LAO,2020.0,7346000.0
418,LAO,2024.0,7769000.0
422,LBN,1990.0,3595000.0
422,LBN,1995.0,3960000.0
422,LBN,2000.0,4329000.0
422,LBN,2005.0,4671000.0
422,LBN,2010.0,5041000.0
422,LBN,2015.0,6472000.0
422,LBN,2020.0,5702000.0
422,LBN,2024.0,5805000.0
430,LBR,1990.0,2223000.0
430,LBR,1995.0,2169000.0
430,LBR,2000.0,2928000.0
430,LBR,2005.0,3301000.0
430,LBR,2010.0,4058000.0
430,LBR,2015.0,4659000.0
430,LBR,2020.0,5149000.0
430,LBR,2024.0,5612000.0
434,LBY,1990.0,4445000.0
434,LBY,1995.0,4906000.0
434,LBY,2000.0,5305000.0
434,LBY,2005.0,5858000.0
434,LBY,2010.0,6497000.0
434,LBY,2015.0,6531000.0
434,LBY,2020.0,7045000.0
434,LBY,2024.0,7381000.0
662,LCA,1990.0,137000.0
662,LCA,1995.0,148000.0
662,LCA,2000.0,158000.0
662,LCA,2005.0,165000.0
662,LCA,2010.0,170000.0
662,LCA,2015.0,174000.0
662,LCA,2020.0,178000.0
